data,ticker,preco_atual,entrada,stop,alvo,risco_rs,retorno_potencial_rs
2026-07-28,ITUB4,42.86,42.86,42.04,43.68,0.82,0.82
2026-07-28,BBDC4,18.77,18.81,18.42,19.2,0.39,0.39
2026-07-28,GGBR4,25.14,24.64,23.82,25.46,0.82,0.82
2026-07-28,USIM5,8.69,8.66,8.38,8.94,0.28,0.28
2026-07-28,BPAC11,55.84,55.82,54.67,56.97,1.15,1.15
2026-07-28,B3SA3,16.0,15.85,15.43,16.27,0.42,0.42
2026-07-28,CMIG4,11.19,11.21,10.98,11.44,0.23,0.23
2026-07-28,ENGI11,49.8,49.89,48.78,51.0,1.11,1.11
2026-07-28,KLBN11,18.04,17.75,17.32,18.18,0.43,0.43
2026-07-28,EMBJ3,88.86,87.29,82.06,92.52,5.23,5.23
2026-07-28,GOAU4,10.89,10.67,10.39,10.95,0.28,0.28
